source,url,date,title,img,summary,Prediction,Probability,Content
3rd Watch News,https://3wnews.org/uncategorised/2788220/lcd-driver-ic-market-impressive-gains-including-key-players-texas-instruments-national-semiconductor-on-semiconductor/,4 hours ago,LCD Driver IC Market Impressive Gains including key players ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Asia-Pacific: India, China, Japan, South Korea, Indonesia, Singapore, and Australia. ... Texas Instruments, National Semiconductor, ON Semiconductor, ... Technologies, Intersil Corporation, Rohmn, Silicon Tech Technology.",industry,0.5080358169701917,"Asia-Pacific: India, China, Japan, South Korea, Indonesia, Singapore, and Australia. ... Texas Instruments, National Semiconductor, ON Semiconductor, ... Technologies, Intersil Corporation, Rohmn, Silicon Tech Technology."
Livemint,https://www.livemint.com/technology/tech-news/hotels-turn-to-robots-for-front-end-services-11594945270219.html,10 hours ago,Hotels turn to robots for front-end services,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Some of the leading five-star hotel chains in India, including the one ... hotel chain is also exploring the use of robots and other technologies in ...",industry,0.8750286918700977,"Some of the leading five-star hotel chains in India, including the one ... hotel chain is also exploring the use of robots and other technologies in ..."
3rd Watch News,https://3wnews.org/news/2687177/robotics-manufacturing-and-start-ups-in-india-market-2020-covid-19-impact-industry-overview-supply-and-demand-analysis-and-forecast-2025-companies-difacto-robotics-and-automation-gridbots-tec/,2 days ago,"Robotics Manufacturing and Start-ups in India Market 2020 | Covid-19 Impact | Industry overview, supply and demand analysis and forecast 2025 | Companies, DiFACTO Robotics and Automation, Gridbots Technologies Pvt. Ltd, Hi-tech Robotic Systemz Ltd, Pari Robotics","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gridbots Technologies Pvt. Ltd • Hi-tech Robotic Systemz Ltd ...,industry,0.5203064128858347,Gridbots Technologies Pvt. Ltd • Hi-tech Robotic Systemz Ltd ... The robotics market in India has gained momentum as a result of industrial ...
ETCIO.com,https://cio.economictimes.indiatimes.com/news/next-gen-technologies/milagrow-introduces-4-humanoid-robots-for-healthcare-hospitality-office-management-industry/76994966,1 day ago,"Milagrow introduces 4 humanoid robots for healthcare, hospitality, office management industry","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Keeping this in mind, India's consumer robotics brand Milagrow Robots has ... and high precision radar sensors for better navigation and positioning technology.",cc,0.40080587498837306,"Keeping this in mind, India's consumer robotics brand Milagrow Robots has ... and high precision radar sensors for better navigation and positioning technology."
Analytics India Magazine,https://analyticsindiamag.com/11-startups-in-india-using-ai-and-robotics-to-fight-covid-19/,1 week ago,11 Startups In India Using AI And Robotics To Fight Covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... globe are now leveraging technologies such as artificial intelligence, computer vision, robotics and more to battle its containment. In India too ...",ai,0.8564235745152265,"... globe are now leveraging technologies such as artificial intelligence, computer vision, robotics and more to battle its containment. In India too ..."
Outlook India,https://www.outlookindia.com/newsscroll/in-the-unlocking-phase-robotics-solutions-from-stpl-are-reviving-the-diamond-industry/1881414,2 weeks ago,"In the Unlocking Phase, Robotics Solutions from STPL are Reviving the Diamond Industry","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Surat, Gujarat, India â€“ Business Wire India The spread of Covid-19 ... digital technology, automation and robotics will dominate every type of ...",industry,0.568219356621583,"Surat, Gujarat, India â€“ Business Wire India The spread of Covid-19 ... digital technology, automation and robotics will dominate every type of ..."
YourStory.com,https://yourstory.com/2020/07/12-startups-qdic-raising-innovation,51 mins ago,"From a platform facilitating the internet of underwater things to a soil intelligence system, meet the 12 star","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","For hardware and deep-tech startups, the Qualcomm Design in India ... Planys is a marine robotics startup that is creating a paradigm shift in ...",industry,0.4119185704920607,"For hardware and deep-tech startups, the Qualcomm Design in India ... Planys is a marine robotics startup that is creating a paradigm shift in ..."
Livemint,https://www.livemint.com/companies/news/up-to-20-jobs-may-be-cut-ficci-11594949491709.html,9 hours ago,Up to 20% jobs may be cut: Ficci,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... the Federation of Indian Chambers of Commerce and Industry (Ficci). ... could also witness mass adoption of technologies such as robotics, ...",other,0.3821177564166712,"... the Federation of Indian Chambers of Commerce and Industry (Ficci). ... could also witness mass adoption of technologies such as robotics, ..."
BW Businessworld,http://www.businessworld.in/article/India-s-Competitor-In-Exports-Is-Not-China-But-Industry-4-0/16-07-2020-298241,1 day ago,India’s Competitor In Exports Is Not China But Industry 4.0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","They are looking at new technological solutions within Industry 4.0 domain such as Artificial Intelligence (AI), robotics and additive technologies ...",ai,0.9708996843896485,"They are looking at new technological solutions within Industry 4.0 domain such as Artificial Intelligence (AI), robotics and additive technologies ..."
3rd Watch News,https://3wnews.org/news/2783913/robotic-lawn-mowers-market-2027%E2%80%A2-robomow-%E2%80%A2-husqvarna-%E2%80%A2-franklin-robotics-%E2%80%A2-lawnbott-%E2%80%A2-hangzhou-favor-robot-technology/,5 hours ago,Robotic Lawn Mowers Market 2027|• Robomow • Husqvarna ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Robotic Lawn Mowers Market 2027|• Robomow • Husqvarna • Franklin Robotics • LawnBott • Hangzhou Favor Robot Technology. Post author By ...,industry,0.46997621600553624,Robotic Lawn Mowers Market 2027|• Robomow • Husqvarna • Franklin Robotics • LawnBott • Hangzhou Favor Robot Technology. Post author By ...
The Tribune,https://www.tribuneindia.com/news/schools/japanese-robot-to-clock-in-at-a-convenience-store-in-test-of-retail-automation-113831,21 hours ago,Japanese robot to clock in at a convenience store in test of retail automation,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","“It advances the scope and scale of human existence,” the robot maker's chief executive, Jin Tomioka, said as he explained how its technology ...",industry,0.5919640041177561,"“It advances the scope and scale of human existence,” the robot maker's chief executive, Jin Tomioka, said as he explained how its technology ..."
India Today,https://www.indiatoday.in/technology/news/story/jio-says-it-will-launch-5g-service-with-made-in-india-tech-deployment-next-year-1700868-2020-07-15,2 days ago,"Jio says it will launch 5G service with Made-In-India tech, deployment next year","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jio on Wednesday said that it has created a 5G solution for India that will use all Made-In-India tools and technologies and that the company ...,telecom,0.7825925935551205,Jio on Wednesday said that it has created a 5G solution for India that will use all Made-In-India tools and technologies and that the company ...
The Indian Express,https://indianexpress.com/article/technology/tech-news-technology/reliance-jio-to-launch-made-in-india-5g-network-mukesh-ambani-6506961/,1 day ago,Reliance Jio ‘Made in India’ 5G solution announced at RIL AGM 2020: Details inside,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The Made-in-India 5G technology can be deployed and launched in a year once spectrum is available. Reliance Jio has designed and ...,telecom,0.9404744808829824,The Made-in-India 5G technology can be deployed and launched in a year once spectrum is available. Reliance Jio has designed and ...
Quartz India,https://qz.com/india/1881312/ambanis-5g-plans-for-india-will-meet-hurdles/,1 day ago,Ambani's 5G plans for India will meet hurdles,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Mukesh Ambani has placed a big bet on 5G technology, but from where things stand today, the foray will have many challenges even for the ...",other,0.3405394611118386,"Mukesh Ambani has placed a big bet on 5G technology, but from where things stand today, the foray will have many challenges even for the ..."
Financial Express,https://www.financialexpress.com/industry/technology/india-us-likely-to-partner-on-5g-internet-technology-us-india-business-council/2027015/,4 hours ago,"India, US likely to partner on 5G internet technology: US India Business Council","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","India, US likely to partner on 5G internet technology: US India Business Council. By: FE Online |.",other,0.3968581079501849,"India, US likely to partner on 5G internet technology: US India Business Council. By: FE Online |. Published: July 17, 2020 12:06 PM ..."
Livemint,https://www.livemint.com/technology/tech-news/the-significance-of-5g-in-jio-s-hunt-for-dominance-11594916679752.html,18 hours ago,The significance of 5G in Jio’s hunt for dominance,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... but the company is prepping to be a technology provider for telcos worldwide. Once its 5G solution is proven through deployment in India, Jio ...",telecom,0.8995416724010916,"... but the company is prepping to be a technology provider for telcos worldwide. Once its 5G solution is proven through deployment in India, Jio ..."
,https://www.prnewswire.com/in/news-releases/5g-india-leadership-virtual-forum-2020-will-create-platform-to-define-why-5g-will-be-the-catalyst-for-devices-amp-automation-industry-876203871.html,1 day ago,5G India Leadership Virtual Forum 2020 - Will Create Platform ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","""5G technology will significantly amplify the socio-economic development of the nation. Backed by 5G, the advent of newer technologies such as ...",telecom,0.9395927131828392,"""5G technology will significantly amplify the socio-economic development of the nation. Backed by 5G, the advent of newer technologies such as ..."
Quartz India,https://qz.com/india/1880747/ambanis-reliance-industries-sets-eyes-on-5g-backed-by-google/,1 day ago,Ambani's Reliance Industries sets eyes on 5G backed by Google,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","In March, Jio had sought the Narendra Modi government's permission to undertake 5G trials using its technology and design. India has not yet ...",telecom,0.9437773010801639,"In March, Jio had sought the Narendra Modi government's permission to undertake 5G trials using its technology and design. India has not yet ..."
ThePrint,https://theprint.in/opinion/the-concert-of-democracies-will-shift-its-no-huawei-focus-to-india/462173/,1 day ago,The concert of democracies will shift its no-Huawei focus to India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","5G is not a routine technology upgrade; it is a technology that enables Internet of Things, smart agriculture, smart cities, energy monitoring, ...",industry,0.47330632311768844,"5G is not a routine technology upgrade; it is a technology that enables Internet of Things, smart agriculture, smart cities, energy monitoring, ..."
Livemint,https://www.livemint.com/companies/news/tech-mahindra-iti-to-make-5g-tech-in-india-11593180518745.html,3 weeks ago,Tech Mahindra- ITI to make 5G tech in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","ITI Limited, will produce the 4G technology upgradeable to 5G Radio access network and related equipment in line with government's initiative of ...",telecom,0.958753678725693,"ITI Limited, will produce the 4G technology upgradeable to 5G Radio access network and related equipment in line with government's initiative of ..."
Economic Times,https://economictimes.indiatimes.com/markets/expert-view/jio-developing-5g-solution-big-takeaway-from-agm-nitin-soni/articleshow/76979713.cms,1 day ago,Jio developing 5G solution big takeaway from AGM: Nitin Soni,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",India is really lagging behind China and other regional countries in terms of technology developments. We have good telecom infrastructure in ...,telecom,0.5879108717859408,India is really lagging behind China and other regional countries in terms of technology developments. We have good telecom infrastructure in ...
BW Businessworld,http://www.businessworld.in/article/Only-3-Of-India-s-Engineering-Graduates-Land-High-Quality-Tech-Jobs-With-Packages-Upwards-Of-8-10L/16-07-2020-298156,17 hours ago,Only 3% Of India’s Engineering Graduates Land High-Quality Tech Jobs With Packages Upwards Of 8-10L,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Only 3% Of India's Engineering Graduates Land High-Quality Tech Jobs With ... Machine learning / AI ... At Edge, mentorship amplifies learning.",ai,0.8687963245904267,"Only 3% Of India's Engineering Graduates Land High-Quality Tech Jobs With ... Machine learning / AI ... At Edge, mentorship amplifies learning."
Economic Times,https://economictimes.indiatimes.com/multimedia/jobs/only-3-engineering-grads-get-high-quality-tech-jobs-with-packages-above-rs-8l-survey/articleshow/76993220.cms,1 day ago,Only 3% engineering grads get high-quality tech jobs with packages above Rs 8L: Survey,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Only 3% engineering grads get high-quality tech jobs with packages ... fields in Indian technology, namely: data science, machine learning / AI, ...",ai,0.8632574670428255,"Only 3% engineering grads get high-quality tech jobs with packages ... fields in Indian technology, namely: data science, machine learning / AI, ..."
ThePrint,https://theprint.in/pageturner/excerpt/how-technology-gave-limbs-to-indian-judiciary-an-app-to-monitor-government-cases/460820/,2 days ago,How technology gave LIMBS to Indian judiciary — an app to monitor government cases,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Data is the oxygen for machine learning and artificial intelligence. The World Economic Forum 2018 emphasised the need for increased ...,ai,0.9648617127328591,Data is the oxygen for machine learning and artificial intelligence. The World Economic Forum 2018 emphasised the need for increased ...
Analytics India Magazine,https://analyticsindiamag.com/coding-tools-federated-learning/,2 hours ago,Top 10 Coding Tools For Federated Learning,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",This enabled machine learning developers to build pipelines that ... FATE (Federated AI Technology Enabler) is an open-source project ...,ai,0.5342374178036244,This enabled machine learning developers to build pipelines that ... FATE (Federated AI Technology Enabler) is an open-source project ...
ETAuto.com,https://auto.economictimes.indiatimes.com/news/auto-technology/altair-introduces-new-version-of-its-machine-learning-and-predictive-analytics-solution/77002934,20 hours ago,Altair introduces new version of its machine learning and predictive analytics solution,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ETAuto takes a look at technology that is a first for India car buyers offering the best combo of power and efficiency and how will it change the driving dynamics on ...,other,0.3449115661590733,ETAuto takes a look at technology that is a first for India car buyers offering the best combo of power and efficiency and how will it change the driving dynamics on ...
India Today,https://www.indiatoday.in/education-today/featurephilia/story/5-mba-courses-that-offer-sound-grounding-in-emerging-technologies-1701482-2020-07-17,2 hours ago,5 MBA courses that offer sound grounding in emerging technologies,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","5 MBA courses that offer sound grounding in emerging technologies ... emerging technologies like big data, artificial intelligence, machine learning to ... The Advanced Management Programme in Business Analytics at Indian ...",ai,0.6149588950457616,"5 MBA courses that offer sound grounding in emerging technologies ... emerging technologies like big data, artificial intelligence, machine learning to ... The Advanced Management Programme in Business Analytics at Indian ..."
ETHealthworld.com,https://health.economictimes.indiatimes.com/news/health-it/evolving-role-of-ai-iomt-and-big-data-analytics-have-redefined-the-shape-of-indian-healthcare-market/77004049,19 hours ago,"Evolving role of AI, IoMT and Big Data analytics have redefined the shape of Indian healthcare market","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","In addition, India has seen many infrastructural and policy changes that has put it ... technologies such as artificial intelligence (AI), machine learning, Internet of ...",ai,0.9913703439127407,"In addition, India has seen many infrastructural and policy changes that has put it ... technologies such as artificial intelligence (AI), machine learning, Internet of ..."
YourStory.com,https://yourstory.com/2020/07/artificial-intelligence-technology-transform-digital-marketing-india,6 days ago,How Artificial Intelligence can transform digital marketing in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",How Artificial Intelligence can transform digital marketing in India ... Brands and marketers are incorporating Machine Learning and Artificial ... use the technology for your brand not only has enormous benefits to your bottom ...,ai,0.9340024261692448,How Artificial Intelligence can transform digital marketing in India ... Brands and marketers are incorporating Machine Learning and Artificial ... use the technology for your brand not only has enormous benefits to your bottom ...
Mercom India,https://mercomindia.com/renew-power-set-up-2-gw/,6 hours ago,ReNew Power to Set Up 2 GW Solar Cell and Module ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","ReNew Power, an Indian independent power producer (IPP), has announced its ... Climate Connect is a technology company that deals in digital analytics, software development, artificial intelligence, and machine learning, ...",industry,0.4214790115556765,"ReNew Power, an Indian independent power producer (IPP), has announced its ... Climate Connect is a technology company that deals in digital analytics, software development, artificial intelligence, and machine learning, ..."
Outlook India,https://www.outlookindia.com/newsscroll/onward-technologies-records-q1-fy21-revenue-of-rs-5635-cr-ebitda-margin-at-7-percent/1896665,22 hours ago,"Onward Technologies Records Q1 FY21 Revenue of Rs 56.35 Cr, EBITDA Margin at 7 Percent","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Onward Technologies Records Q1 FY21 Revenue of Rs 56.35 Cr, EBITDA ... Mumbai, Maharashtra, India â€“ Business Wire India Onward Technologies ... Data Analytics, Artificial Intelligence (AI) and Machine Learning (ML).",ai,0.954698108600987,"Onward Technologies Records Q1 FY21 Revenue of Rs 56.35 Cr, EBITDA ... Mumbai, Maharashtra, India â€“ Business Wire India Onward Technologies ... Data Analytics, Artificial Intelligence (AI) and Machine Learning (ML)."
Analytics India Magazine,https://analyticsindiamag.com/yotta-infrastructure-inaugurates-indias-largest-data-center-facility/,1 week ago,Yotta Infrastructure Inaugurates India's Largest Data Center ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Minister for Communications, Electronics & Information Technology and Law & Justice, Govt of India said, “A good data center infrastructure is ...",dc,0.5495238471083428,"Minister for Communications, Electronics & Information Technology and Law & Justice, Govt of India said, “A good data center infrastructure is ..."
Livemint,https://www.livemint.com/news/india/govt-to-bring-more-investments-into-data-centers-says-ravi-shankar-prasad-11594130264085.html,1 week ago,"Govt to bring more investments into data centers, says Ravi Shankar Prasad","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... into data centers to realise India's full potential to become a data-driven economy, telecom and information technology minister Ravi Shankar ...",dc,0.7626913852752089,"... into data centers to realise India's full potential to become a data-driven economy, telecom and information technology minister Ravi Shankar ..."
CRN.in,https://www.crn.in/news/yotta-infrastructure-opens-asias-largest-tier-iv-certified-data-center-yotta-nm1-at-navi-mumbai/,1 week ago,Yotta Infrastructure opens Asia's Largest Tier IV Certified Data Center – Yotta NM1 at Navi Mumbai,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Yotta Infrastructure has inaugurated India's largest data center ... Minister for Communications, Electronics & Information Technology and Law ...",dc,0.47149058548097633,"Yotta Infrastructure has inaugurated India's largest data center ... Minister for Communications, Electronics & Information Technology and Law ..."
Tech Observer,https://techobserver.in/2020/06/29/oracle-launches-second-data-centre-in-india/,2 weeks ago,Oracle launches second data center in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The American technology giant said the opening is part of its global plans to operate 36 second-generation Cloud regions by the end of 2020.,industry,0.4277298915994012,The American technology giant said the opening is part of its global plans to operate 36 second-generation Cloud regions by the end of 2020.
The Times of India Blog,https://timesofindia.indiatimes.com/blogs/voices/understanding-data-center-and-cloud-services-in-the-post-covid-19-world/,20 hours ago,Understanding data center and cloud services in the post Covid-19 world,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Understanding data center and cloud services in the post Covid-19 world. July 16, 2020, 7:45 pm IST Manish Israni in Voices | India, Tech | TOI.",dc,0.6096680026904147,"Understanding data center and cloud services in the post Covid-19 world. July 16, 2020, 7:45 pm IST Manish Israni in Voices | India, Tech | TOI. With the ..."
,http://bwsmartcities.businessworld.in/article/Dell-Technologies-enables-Indian-Businesses-to-harness-the-Power-of-Software-with-Dell-EMC-PowerFlex-/17-07-2020-298510,6 hours ago,Dell Technologies enables Indian Businesses to harness the ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","To enable data center modernization, Dell Technologies has introduced Dell EMC PowerFlex, a new software-defined storage portfolio.",dc,0.7971460777198581,"To enable data center modernization, Dell Technologies has introduced Dell EMC PowerFlex, a new software-defined storage portfolio."
Tech Wire Asia,https://techwireasia.com/2020/06/demand-for-data-centers-in-india-could-double-by-2025/,3 weeks ago,Demand for data centers in India could double by 2025,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",“Technology and automation would provide significant opportunities in terms of how data center operations evolve as we move forward in the ...,dc,0.6526905314116619,“Technology and automation would provide significant opportunities in terms of how data center operations evolve as we move forward in the ...
Financial Express,https://www.financialexpress.com/industry/msme-tech-smart-data-storage-how-msmes-startups-can-channelise-limited-resources-for-maximum-benefits-amid-covid/2022351/,4 days ago,"Smart data storage: How MSMEs, startups can channelise limited resources for maximum benefits amid Covid","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Technology for MSMEs: Outsourcing with a third-party data center and cloud ... The year 2019 was a big hit for Indian startups; with technology ...,dc,0.532452287199331,Technology for MSMEs: Outsourcing with a third-party data center and cloud ... The year 2019 was a big hit for Indian startups; with technology ...
DatacenterDynamics,https://www.datacenterdynamics.com/en/analysis/creating-data-center-ecosystems-india/,3 weeks ago,Creating data center ecosystems India - DCD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","To understand Yotta's place in India's data center industry, Gupta said ... driving demand in India: consumers, enterprise, and new technology.",dc,0.9185137004351014,"To understand Yotta's place in India's data center industry, Gupta said ... driving demand in India: consumers, enterprise, and new technology."
http://www.manufacturingtodayindia.com/,https://www.manufacturingtodayindia.com/sectors/7757-hiranandani-group-unveils-asias-largest-data-centre-at-navi-mumbai,1 week ago,Hiranandani Group unveils Asia's Largest Data Centre at Navi Mumbai,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","India's largest Data Center building, Yotta NM1, the largest Tier IV ... Technology and Law & Justice, Govt. of India and Subhash Desai, Hon.",dc,0.691230843351128,"India's largest Data Center building, Yotta NM1, the largest Tier IV ... Technology and Law & Justice, Govt. of India and Subhash Desai, Hon."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/google-cloud-to-aggressively-invest-in-india-ceo-thomas-kurian/77010885,7 hours ago,Google Cloud to aggressively invest in India: CEO Thomas Kurian,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",India offers a great opportunity where Google Cloud Platform (GCP) with its latest ... trust in Google Cloud because of the differentiated technology we provide to ...,cloud,0.892371521250859,India offers a great opportunity where Google Cloud Platform (GCP) with its latest ... trust in Google Cloud because of the differentiated technology we provide to ...
Financial Express,https://www.financialexpress.com/industry/technology/amazon-to-provide-cloud-computing-curriculum-for-7-universities-in-india/2024463/,2 days ago,Amazon to provide cloud computing curriculum for 7 universities in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Amazon to provide cloud computing curriculum for 7 universities in ... a cloud-ready workforce in India will enable technology-led growth and ...,cloud,0.9405728495552855,Amazon to provide cloud computing curriculum for 7 universities in ... a cloud-ready workforce in India will enable technology-led growth and ...
CNBCTV18,https://www.cnbctv18.com/views/banking-on-the-future-a-three-point-tech-roadmap-6359621.htm,45 mins ago,Banking on the future — A three point tech roadmap,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Indian banks must prepare for the unexpected with comprehensive business continuity plans that offer a mix of digital workspaces, cloud ...",cloud,0.9080381576802318,"Indian banks must prepare for the unexpected with comprehensive business continuity plans that offer a mix of digital workspaces, cloud ..."
ETCIO.com,https://cio.economictimes.indiatimes.com/news/strategy-and-management/reclaiming-growth-while-staying-secure-collaborative/77016756,1 hour ago,Reclaiming Growth While Staying Secure & Collaborative,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Rajesh Rege, Executive Director- Technology, Cloud and Solutions, Microsoft India, ... “When I look at the Indian market, there is a spectrum, there are a lot of ...",cloud,0.485502579272733,"Rajesh Rege, Executive Director- Technology, Cloud and Solutions, Microsoft India, ... “When I look at the Indian market, there is a spectrum, there are a lot of ..."
Express Computer,https://www.expresscomputer.in/cloud/businesses-must-adopt-cloud-for-a-digitally-proven-post-covid-world-tech-leaders/60631/,1 day ago,“Businesses Must Adopt Cloud For A Digitally Proven Post COVID World”: Tech Leaders,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",A spokesperson from IDC India believes that as industries move ... Google Cloud once said that are working hard to deliver technology and ...,cloud,0.6337988935511613,A spokesperson from IDC India believes that as industries move ... Google Cloud once said that are working hard to deliver technology and ...
Express Computer,https://www.expresscomputer.in/news/aatma-nirbhar-bharat-reliance-jio-heralds-new-era-for-make-in-india-tech-innovations-jio/60619/,1 day ago,Aatma Nirbhar Bharat: Reliance Jio heralds new era for 'Make in India' tech innovations,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jio's enterprise-grade voice and data services and cloud-based solutions are bringing Indian SMEs from zero connectivity and zero technology ...,other,0.3904048087047029,Jio's enterprise-grade voice and data services and cloud-based solutions are bringing Indian SMEs from zero connectivity and zero technology ...
Analytics India Magazine,https://analyticsindiamag.com/why-indian-it-professionals-are-looking-to-upskill-themselves-in-cloud-computing/,2 weeks ago,Why Indian IT Professionals Are Looking To Upskill ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Cloud technology is one of the leading tech domains for upskilling among the techies and other technologies like artificial intelligence, machine ...",ai,0.6396083864569713,"Cloud technology is one of the leading tech domains for upskilling among the techies and other technologies like artificial intelligence, machine ..."
,https://www.theweek.in/wire-updates/business/2020/07/17/pwr1-cloud4c.html,5 hours ago,Cloud4C Appoints Vikas Bakshi as Senior Vice President to Foster Alliances in Americas Europe and India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Based out of India, Vikas will lead the alliance strategies in Americas, Europe ... for leading the cloud infrastructure services as General Manager and ... their technology and business goals respectively,"" said Vikas Bakshi, ...",cloud,0.7495476573745729,"Based out of India, Vikas will lead the alliance strategies in Americas, Europe ... for leading the cloud infrastructure services as General Manager and ... their technology and business goals respectively,"" said Vikas Bakshi, ..."
